每个月15日最大太阳直射强度和太阳直射辐射总能量
              maxI
 month    20度    40度    60度
      1  468.20  539.62  545.95
      2  575.65  626.97  602.68
      3  673.90  686.89  617.04
      4  728.49  689.63  567.60
      5  732.24  652.68  494.39
      6  717.50  619.00  445.85
      7  715.67  624.53  458.07
      8  719.31  659.79  520.69
      9  689.68  677.83  584.22
     10  610.01  644.00  600.31
     11  500.10  564.12  560.09
     12  435.34  508.77  520.83

              sumI
 month    20度    40度    60度
      1 2424.47 2853.09 2937.59
      2 3221.95 3562.86 3474.04
      3 4056.09 4149.04 3741.55
      4 4664.68 4343.69 3498.79
      5 4875.57 4180.63 2981.45
      6 4863.79 3978.87 2614.03
      7 4822.09 4011.19 2716.47
      8 4706.26 4199.88 3186.93
      9 4289.16 4193.00 3591.10
     10 3540.94 3777.42 3558.28
     11 2672.51 3072.73 3102.33
     12 2206.15 2634.81 2745.67
